Time, Value0, Value 1, X, Y,
1460433882.3860, 7.9703, 40.6985, -0.9312, 0.3645, 
1460433882.4070, 8.3079, 40.6966, -0.9387, 0.3449, 
1460433882.4260, 8.6443, 40.7045, -0.9450, 0.3270, 
1460433882.4450, 9.0100, 40.7209, -0.9511, 0.3090, 
1460433882.4650, 9.4266, 40.7469, -0.9571, 0.2899, 
1460433882.4840, 9.8524, 40.7790, -0.9624, 0.2716, 
1460433882.5030, 10.3071, 40.8176, -0.9674, 0.2533, 
1460433882.5230, 10.8168, 40.8645, -0.9723, 0.2339, 
1460433882.5420, 11.3302, 40.9140, -0.9765, 0.2154, 
1460433882.5620, 11.9005, 40.9704, -0.9806, 0.1958, 
1460433882.5810, 12.4702, 41.0271, -0.9842, 0.1772, 
1460433882.6000, 13.0662, 41.0860, -0.9874, 0.1584, 
1460433882.6190, 13.6876, 41.1462, -0.9902, 0.1396, 
1460433882.6380, 14.3332, 41.2065, -0.9927, 0.1208, 
1460433882.6580, 15.0373, 41.2693, -0.9949, 0.1009, 
1460433882.6770, 15.7279, 41.3271, -0.9966, 0.0820, 
1460433882.6970, 16.4757, 41.3851, -0.9981, 0.0621, 
1460433882.7180, 17.2812, 41.4414, -0.9992, 0.0411, 
1460433882.7380, 18.0648, 41.4897, -0.9998, 0.0211, 
1460433882.7580, 18.8613, 41.5316, -1.0000, 0.0011, 
1460433882.7780, 19.6672, 41.5659, -0.9998, -0.0189, 
1460433882.7970, 20.4382, 41.5908, -0.9993, -0.0379, 
1460433882.8170, 21.2513, 41.6077, -0.9983, -0.0579, 
1460433882.8360, 22.0215, 41.6141, -0.9970, -0.0768, 
1460433882.8560, 22.8251, 41.6098, -0.9953, -0.0968, 
1460433882.8750, 23.5774, 41.5946, -0.9933, -0.1156, 
1460433882.8950, 24.3526, 41.5659, -0.9908, -0.1355, 
1460433882.9140, 25.0684, 41.5261, -0.9880, -0.1543, 
1460433882.9340, 25.7949, 41.4701, -0.9847, -0.1740, 
1460433882.9530, 26.4544, 41.4032, -0.9813, -0.1927, 
1460433882.9720, 27.0793, 41.3223, -0.9774, -0.2113, 
1460433882.9920, 27.6945, 41.2217, -0.9730, -0.2308, 
1460433883.0120, 28.2608, 41.1047, -0.9682, -0.2502, 
1460433883.0320, 28.7732, 40.9709, -0.9630, -0.2695, 
1460433883.0510, 29.2057, 40.8282, -0.9577, -0.2878, 
1460433883.0700, 29.5819, 40.6699, -0.9521, -0.3059, 
1460433883.0900, 29.9133, 40.4864, -0.9457, -0.3249, 
1460433883.1090, 30.1643, 40.2960, -0.9394, -0.3428, 
1460433883.1280, 30.3510, 40.0898, -0.9327, -0.3606, 
1460433883.1480, 30.4766, 39.8558, -0.9253, -0.3792, 
1460433883.1680, 30.5289, 39.6046, -0.9176, -0.3976, 
1460433883.1870, 30.5110, 39.3501, -0.9098, -0.4150, 
1460433883.2060, 30.4285, 39.0804, -0.9018, -0.4322, 
1460433883.2260, 30.2740, 38.7802, -0.8930, -0.4501, 
1460433883.2450, 30.0660, 38.4800, -0.8843, -0.4670, 
1460433883.2650, 29.7870, 38.1485, -0.8747, -0.4846, 
1460433883.2840, 29.4696, 37.8192, -0.8654, -0.5011, 
1460433883.3040, 29.0866, 37.4579, -0.8552, -0.5183, 
1460433883.3230, 28.6829, 37.1012, -0.8452, -0.5345, 
1460433883.3430, 28.2239, 36.7120, -0.8343, -0.5513, 
1460433883.3620, 27.7632, 36.3298, -0.8237, -0.5670, 
1460433883.3810, 27.2869, 35.9360, -0.8128, -0.5826, 
1460433883.4000, 26.8034, 35.5310, -0.8016, -0.5979, 
1460433883.4190, 26.3214, 35.1155, -0.7901, -0.6130, 
1460433883.4390, 25.8253, 34.6674, -0.7776, -0.6287, 
1460433883.4580, 25.3740, 34.2320, -0.7655, -0.6434, 
1460433883.4770, 24.9510, 33.7878, -0.7532, -0.6578, 
1460433883.4960, 24.5646, 33.3353, -0.7406, -0.6720, 
1460433883.5160, 24.2061, 32.8509, -0.7270, -0.6867, 
1460433883.5370, 23.8923, 32.3339, -0.7124, -0.7018, 
1460433883.5550, 23.6810, 31.8846, -0.6996, -0.7145, 
1460433883.5740, 23.5217, 31.4047, -0.6859, -0.7277, 
1460433883.5940, 23.4299, 30.8940, -0.6713, -0.7412, 
1460433883.6130, 23.4192, 30.4041, -0.6570, -0.7538, 
1460433883.6320, 23.4862, 29.9103, -0.6426, -0.7662, 
1460433883.6510, 23.6330, 29.4130, -0.6279, -0.7783, 
1460433883.6700, 23.8605, 28.9129, -0.6130, -0.7901, 
1460433883.6900, 24.1874, 28.3840, -0.5971, -0.8022, 
1460433883.7090, 24.5799, 27.8797, -0.5818, -0.8134, 
1460433883.7310, 25.1315, 27.2943, -0.5637, -0.8260, 
1460433883.7510, 25.7199, 26.7614, -0.5471, -0.8371, 
1460433883.7710, 26.3865, 26.2283, -0.5302, -0.8478, 
1460433883.7900, 27.0874, 25.7223, -0.5140, -0.8578, 
1460433883.8100, 27.8908, 25.1905, -0.4968, -0.8679, 
1460433883.8290, 28.7103, 24.6866, -0.4802, -0.8772, 
1460433883.8480, 29.5785, 24.1844, -0.4635, -0.8861, 
1460433883.8670, 30.4890, 23.6844, -0.4465, -0.8948, 
1460433883.8860, 31.4353, 23.1868, -0.4295, -0.9031, 
1460433883.9050, 32.4107, 22.6922, -0.4122, -0.9111, 
1460433883.9240, 33.4085, 22.2008, -0.3948, -0.9187, 
1460433883.9430, 34.4222, 21.7129, -0.3773, -0.9261, 
1460433883.9620, 35.4455, 21.2290, -0.3597, -0.9331, 
1460433883.9810, 36.4721, 20.7493, -0.3419, -0.9398, 
1460433883.9990, 37.4425, 20.2990, -0.3249, -0.9458, 
1460433884.0190, 38.5125, 19.8037, -0.3059, -0.9521, 
1460433884.0370, 39.4634, 19.3627, -0.2887, -0.9574, 
1460433884.0570, 40.5016, 18.8783, -0.2695, -0.9630, 
1460433884.0760, 41.4657, 18.4238, -0.2512, -0.9679, 
1460433884.0950, 42.4044, 17.9750, -0.2327, -0.9725, 
1460433884.1140, 43.3146, 17.5323, -0.2142, -0.9768, 
1460433884.1330, 44.1934, 17.0957, -0.1956, -0.9807, 
1460433884.1530, 45.0823, 16.6429, -0.1760, -0.9844, 
1460433884.1720, 45.8903, 16.2196, -0.1572, -0.9876, 
1460433884.1910, 46.6616, 15.8029, -0.1384, -0.9904, 
1460433884.2100, 47.3951, 15.3930, -0.1196, -0.9928, 
1460433884.2290, 48.0902, 14.9902, -0.1007, -0.9949, 
1460433884.2480, 48.7466, 14.5945, -0.0818, -0.9966, 
1460433884.2670, 49.3645, 14.2060, -0.0629, -0.9980, 
1460433884.2870, 49.9734, 13.8049, -0.0429, -0.9991, 
1460433884.3060, 50.5131, 13.4316, -0.0239, -0.9997, 
1460433884.3250, 51.0157, 13.0659, -0.0049, -1.0000, 
1460433884.3440, 51.4821, 12.7078, 0.0141, -0.9999, 
1460433884.3640, 51.9350, 12.3391, 0.0341, -0.9994, 
1460433884.3830, 52.3304, 11.9969, 0.0531, -0.9986, 
1460433884.4020, 52.6929, 11.6625, 0.0720, -0.9974, 
1460433884.4210, 53.0237, 11.3361, 0.0910, -0.9959, 
1460433884.4410, 53.3392, 11.0010, 0.1109, -0.9938, 
1460433884.4600, 53.6090, 10.6909, 0.1297, -0.9915, 
1460433884.4790, 53.8509, 10.3889, 0.1486, -0.9889, 
1460433884.4980, 54.0661, 10.0949, 0.1673, -0.9859, 
1460433884.5170, 54.2557, 9.8090, 0.1860, -0.9825, 
1460433884.5370, 54.4288, 9.5168, 0.2056, -0.9786, 
1460433884.5560, 54.5691, 9.2476, 0.2242, -0.9745, 
1460433884.5750, 54.6869, 8.9866, 0.2427, -0.9701, 
1460433884.5940, 54.7829, 8.7337, 0.2610, -0.9653, 
1460433884.6130, 54.8579, 8.4889, 0.2793, -0.9602, 
1460433884.6320, 54.9125, 8.2523, 0.2975, -0.9547, 
1460433884.6510, 54.9474, 8.0239, 0.3156, -0.9489, 
1460433884.6700, 54.9629, 7.8036, 0.3336, -0.9427, 
1460433884.6900, 54.9587, 7.5804, 0.3524, -0.9359, 
1460433884.7090, 54.9356, 7.3768, 0.3701, -0.9290, 
1460433884.7320, 54.8829, 7.1410, 0.3914, -0.9202, 
