Column1, Column2,
1459919046.815000, 25.757793, 14.210353
1459919046.828000, 24.888247, 13.932935
1459919046.839000, 24.168987, 13.698241
1459919046.850000, 23.466260, 13.463600
1459919046.862000, 22.719982, 13.207695
1459919046.873000, 22.055799, 12.973192
1459919046.885000, 21.354206, 12.717461
1459919046.897000, 20.677808, 12.461841
1459919046.908000, 20.080861, 12.227639
1459919046.921000, 19.404852, 11.951004
1459919046.932000, 18.858532, 11.717070
1459919046.944000, 18.290022, 11.462037
1459919046.956000, 17.750693, 11.207186
1459919046.968000, 17.240938, 10.952545
1459919046.980000, 16.760961, 10.698118
1459919046.992000, 16.310865, 10.443935
1459919047.004000, 15.890615, 10.190013
1459919047.017000, 15.468796, 9.915245
1459919047.028000, 15.138760, 9.683023
1459919047.040000, 14.806444, 9.430002
1459919047.053000, 14.478446, 9.156277
1459919047.066000, 14.182940, 8.882988
1459919047.079000, 13.918967, 8.610162
1459919047.092000, 13.685458, 8.337826
1459919047.103000, 13.510793, 8.107804
1459919047.115000, 13.343240, 7.857321
1459919047.128000, 13.187611, 7.586538
1459919047.141000, 13.057519, 7.316379
1459919047.153000, 12.958826, 7.067600
1459919047.166000, 12.873659, 6.798769
1459919047.178000, 12.813802, 6.551278
1459919047.190000, 12.770697, 6.304460
1459919047.205000, 12.738456, 5.996952
1459919047.219000, 12.728057, 5.711002
1459919047.233000, 12.734656, 5.426156
1459919047.245000, 12.752365, 5.182931
1459919047.258000, 12.782635, 4.920452
1459919047.270000, 12.819561, 4.679150
1459919047.283000, 12.867935, 4.418867
1459919047.297000, 12.928200, 4.139951
1459919047.310000, 12.990319, 3.882313
1459919047.323000, 13.057048, 3.626054
1459919047.335000, 13.121682, 3.390791
1459919047.346000, 13.182693, 3.176272
1459919047.359000, 13.256045, 2.924211
1459919047.371000, 13.324119, 2.693017
1459919047.383000, 13.391760, 2.463314
1459919047.396000, 13.463742, 2.216222
1459919047.408000, 13.528293, 1.989834
1459919047.421000, 13.595478, 1.746507
1459919047.432000, 13.649598, 1.542249
1459919047.445000, 13.709783, 1.302869
1459919047.458000, 13.765363, 1.065775
1459919047.469000, 13.808429, 0.867018
1459919047.480000, 13.847566, 0.670040
1459919047.493000, 13.888464, 0.439636
1459919047.504000, 13.918299, 0.246781
