Column1, Column2,
1.45992e+009, 29.391, 45.2793
1.45992e+009, 29.086, 45.6088
1.45992e+009, 28.7552, 45.9576
1.45992e+009, 28.4378, 46.2845
1.45992e+009, 28.135, 46.5897
1.45992e+009, 27.7861, 46.9339
1.45992e+009, 27.4311, 47.2763
1.45992e+009, 27.0917, 47.5967
1.45992e+009, 26.7038, 47.9549
1.45992e+009, 26.3757, 48.2515
1.45992e+009, 25.954, 48.6245
1.45992e+009, 25.5934, 48.936
1.45992e+009, 25.2049, 49.2643
1.45992e+009, 24.8341, 49.5706
1.45992e+009, 24.4344, 49.893
1.45992e+009, 24.0528, 50.1934
1.45992e+009, 23.6413, 50.5091
1.45992e+009, 23.248, 50.8028
1.45992e+009, 22.8235, 51.111
1.45992e+009, 22.3917, 51.415
1.45992e+009, 21.9784, 51.697
1.45992e+009, 21.5313, 51.992
1.45992e+009, 20.9126, 52.3831
1.45992e+009, 20.6107, 52.5667
1.45992e+009, 20.2766, 52.7643
1.45992e+009, 19.7085, 53.0873
1.45992e+009, 19.1843, 53.3706
1.45992e+009, 18.5564, 53.6919
1.45992e+009, 18.0032, 53.9589
1.45992e+009, 17.4355, 54.2178
1.45992e+009, 16.7541, 54.5089
1.45992e+009, 16.2205, 54.7224
1.45992e+009, 15.6741, 54.9284
1.45992e+009, 15.1147, 55.1266
1.45992e+009, 14.542, 55.3166
1.45992e+009, 13.9559, 55.4982
1.45992e+009, 13.3944, 55.6605
1.45992e+009, 12.7827, 55.8248
1.45992e+009, 12.158, 55.9796
1.45992e+009, 11.5207, 56.1247
1.45992e+009, 10.8716, 56.2597
1.45992e+009, 10.1696, 56.3917
1.45992e+009, 9.49826, 56.5048
1.45992e+009, 8.81788, 56.6068
1.45992e+009, 8.12974, 56.6974
1.45992e+009, 7.43538, 56.7762
1.45992e+009, 6.73655, 56.843
1.45992e+009, 6.03523, 56.8974
1.45992e+009, 5.28981, 56.9413
1.45992e+009, 4.59052, 56.9693
1.45992e+009, 3.8098, 56.985
1.45992e+009, 3.12431, 56.9845
1.45992e+009, 2.44993, 56.9703
1.45992e+009, 1.78989, 56.9421
1.45992e+009, 1.14753, 56.8997
1.45992e+009, 0.526363, 56.8429
1.45992e+009, -0.0335556, 56.7763
1.45992e+009, -0.638015, 56.6853
1.45992e+009, -1.17385, 56.5843
1.45992e+009, -1.67385, 56.4684
1.45992e+009, -2.13434, 56.3373
1.45992e+009, -2.5763, 56.1815
1.45992e+009, -2.94407, 56.0193
1.45992e+009, -3.24339, 55.8534
1.45992e+009, -3.51122, 55.6618
1.45992e+009, -3.73444, 55.4418
1.45992e+009, -3.87647, 55.2335
1.45992e+009, -3.96903, 54.9969
1.45992e+009, -3.99885, 54.7456
1.45992e+009, -3.96444, 54.4797
1.45992e+009, -3.86468, 54.1995
1.45992e+009, -3.69896, 53.9051
