Column1, Column2,
1459919151.2110, 43.1339, 28.1475
1459919151.2240, 42.7781, 27.8708
1459919151.2360, 42.4536, 27.6163
1459919151.2480, 42.1330, 27.3626
1459919151.2600, 41.8163, 27.1099
1459919151.2720, 41.5039, 26.8581
1459919151.2850, 41.1702, 26.5864
1459919151.2970, 40.8668, 26.3366
1459919151.3100, 40.5432, 26.0673
1459919151.3220, 40.2492, 25.8198
1459919151.3340, 39.9598, 25.5734
1459919151.3470, 39.6516, 25.3079
1459919151.3590, 39.3719, 25.0640
1459919151.3710, 39.0970, 24.8213
1459919151.3830, 38.8268, 24.5800
1459919151.3960, 38.5393, 24.3200
1459919151.4080, 38.2789, 24.0813
1459919151.4210, 38.0020, 23.8244
1459919151.4330, 37.7513, 23.5887
1459919151.4470, 37.4645, 23.3155
1459919151.4580, 37.2435, 23.1023
1459919151.4700, 37.0067, 22.8711
1459919151.4820, 36.7742, 22.6414
1459919151.4940, 36.5461, 22.4133
1459919151.5060, 36.3221, 22.1867
1459919151.5190, 36.0840, 21.9431
1459919151.5310, 35.8684, 21.7199
1459919151.5430, 35.6567, 21.4984
1459919151.5550, 35.4486, 21.2785
1459919151.5670, 35.2441, 21.0603
1459919151.5800, 35.0265, 20.8259
1459919151.5920, 34.8290, 20.6113
1459919151.6050, 34.6185, 20.3807
1459919151.6170, 34.4273, 20.1697
1459919151.6290, 34.2388, 19.9605
1459919151.6420, 34.0375, 19.7359
1459919151.6540, 33.8541, 19.5304
1459919151.6660, 33.6729, 19.3267
1459919151.6780, 33.4936, 19.1248
1459919151.6900, 33.3161, 18.9247
1459919151.7030, 33.1256, 18.7100
1459919151.7150, 32.9511, 18.5138
1459919151.7270, 32.7776, 18.3193
1459919151.7400, 32.5908, 18.1107
1459919151.7520, 32.4190, 17.9200
1459919151.7650, 32.2333, 17.7155
1459919151.7770, 32.0621, 17.5286
1459919151.7910, 31.8623, 17.3128
1459919151.8040, 31.6765, 17.1146
1459919151.8160, 31.5044, 16.9335
1459919151.8280, 31.3316, 16.7542
1459919151.8410, 31.1434, 16.5619
1459919151.8530, 30.9684, 16.3862
1459919151.8650, 30.7921, 16.2122
1459919151.8780, 30.5994, 16.0256
1459919151.8900, 30.4197, 15.8551
1459919151.9020, 30.2381, 15.6862
1459919151.9140, 30.0544, 15.5190
1459919151.9270, 29.8530, 15.3396
1459919151.9390, 29.6646, 15.1756
1459919151.9510, 29.4737, 15.0132
1459919151.9630, 29.2802, 14.8522
1459919151.9760, 29.0676, 14.6795
1459919151.9880, 28.8684, 14.5215
1459919152.0000, 28.6664, 14.3649
1459919152.0130, 28.4442, 14.1967
1459919152.0260, 28.2186, 14.0300
1459919152.0380, 28.0073, 13.8775
1459919152.0500, 27.7930, 13.7261
1459919152.0630, 27.5575, 13.5634
1459919152.0750, 27.3370, 13.4143
1459919152.0880, 27.0949, 13.2540
