Time, Value0, Value 1, X, Y,
1460438494.9050, 0.8094, 35.0764, -0.9588, -0.2839, 
1460438494.9290, 0.7606, 35.9117, -0.9518, -0.3069, 
1460438494.9500, 0.7104, 36.6294, -0.9451, -0.3268, 
1460438494.9710, 0.6531, 37.3335, -0.9380, -0.3465, 
1460438494.9920, 0.5887, 38.0227, -0.9305, -0.3662, 
1460438495.0130, 0.5175, 38.6956, -0.9227, -0.3856, 
1460438495.0350, 0.4358, 39.3818, -0.9139, -0.4058, 
1460438495.0560, 0.3516, 40.0176, -0.9052, -0.4249, 
1460438495.0770, 0.2620, 40.6337, -0.8961, -0.4438, 
1460438495.0980, 0.1678, 41.2287, -0.8866, -0.4626, 
1460438495.1190, 0.0701, 41.8018, -0.8767, -0.4811, 
1460438495.1410, -0.0348, 42.3776, -0.8659, -0.5002, 
1460438495.1630, -0.1405, 42.9272, -0.8547, -0.5192, 
1460438495.1850, -0.2450, 43.4497, -0.8430, -0.5379, 
1460438495.2080, -0.3506, 43.9661, -0.8304, -0.5571, 
1460438495.2300, -0.4452, 44.4308, -0.8180, -0.5752, 
1460438495.2550, -0.5414, 44.9235, -0.8034, -0.5955, 
1460438495.2780, -0.6151, 45.3429, -0.7894, -0.6138, 
1460438495.3000, -0.6683, 45.7134, -0.7758, -0.6310, 
1460438495.3230, -0.7013, 46.0685, -0.7610, -0.6487, 
1460438495.3450, -0.7066, 46.3773, -0.7466, -0.6653, 
1460438495.3660, -0.6834, 46.6440, -0.7324, -0.6808, 
1460438495.3900, -0.6173, 46.9155, -0.7159, -0.6982, 
1460438495.4110, -0.5198, 47.1243, -0.7011, -0.7131, 
1460438495.4330, -0.3726, 47.3147, -0.6852, -0.7283, 
1460438495.4530, -0.1943, 47.4632, -0.6705, -0.7419, 
1460438495.4740, 0.0432, 47.5943, -0.6548, -0.7558, 
1460438495.4960, 0.3522, 47.7054, -0.6380, -0.7700, 
1460438495.5180, 0.7278, 47.7904, -0.6209, -0.7839, 
1460438495.5460, 1.3098, 47.8626, -0.5987, -0.8010, 
1460438495.5700, 1.9074, 47.8938, -0.5793, -0.8151, 
1460438495.5940, 2.6012, 47.8985, -0.5596, -0.8288, 
1460438495.6160, 3.3248, 47.8809, -0.5412, -0.8409, 
1460438495.6380, 4.1339, 47.8437, -0.5226, -0.8526, 
1460438495.6590, 4.9867, 47.7912, -0.5046, -0.8634, 
1460438495.6790, 5.8719, 47.7268, -0.4872, -0.8733, 
1460438495.7010, 6.9262, 47.6411, -0.4679, -0.8838, 
1460438495.7240, 8.1160, 47.5364, -0.4474, -0.8943, 
1460438495.7470, 9.3904, 47.4179, -0.4268, -0.9044, 
1460438495.7700, 10.7431, 47.2872, -0.4059, -0.9139, 
1460438495.7940, 12.2292, 47.1396, -0.3838, -0.9234, 
1460438495.8180, 13.7807, 46.9822, -0.3615, -0.9324, 
1460438495.8410, 15.3169, 46.8239, -0.3400, -0.9404, 
1460438495.8630, 16.8199, 46.6671, -0.3192, -0.9477, 
1460438495.8840, 18.2738, 46.5135, -0.2993, -0.9542, 
1460438495.9060, 19.8049, 46.3497, -0.2782, -0.9605, 
1460438495.9280, 21.3308, 46.1842, -0.2570, -0.9664, 
1460438495.9490, 22.7700, 46.0253, -0.2366, -0.9716, 
1460438495.9700, 24.1802, 45.8667, -0.2162, -0.9764, 
1460438495.9920, 25.6135, 45.7014, -0.1947, -0.9809, 
1460438496.0130, 26.9278, 45.5454, -0.1740, -0.9847, 
1460438496.0340, 28.1785, 45.3916, -0.1533, -0.9882, 
1460438496.0580, 29.5174, 45.2195, -0.1295, -0.9916, 
1460438496.0790, 30.5997, 45.0725, -0.1087, -0.9941, 
1460438496.1010, 31.6355, 44.9226, -0.0868, -0.9962, 
1460438496.1240, 32.6036, 44.7709, -0.0639, -0.9980, 
1460438496.1470, 33.4483, 44.6246, -0.0409, -0.9992, 
1460438496.1680, 34.1083, 44.4960, -0.0199, -0.9998, 
1460438496.1900, 34.6843, 44.3664, 0.0021, -1.0000, 
